"SQINC1 Personal Income Summary: Personal Income, Population, Per Capita Personal Income"
"" 
"Bureau of Economic Analysis" 
"State or DC"
"GeoFips","GeoName","LineCode","Description","2001:Q1","2001:Q2","2001:Q3","2001:Q4","2002:Q1","2002:Q2","2002:Q3","2002:Q4","2003:Q1","2003:Q2","2003:Q3","2003:Q4","2004:Q1","2004:Q2","2004:Q3","2004:Q4","2005:Q1","2005:Q2","2005:Q3","2005:Q4","2006:Q1","2006:Q2","2006:Q3","2006:Q4","2007:Q1","2007:Q2","2007:Q3","2007:Q4","2008:Q1","2008:Q2","2008:Q3","2008:Q4","2009:Q1","2009:Q2","2009:Q3","2009:Q4","2010:Q1","2010:Q2","2010:Q3","2010:Q4","2011:Q1","2011:Q2","2011:Q3","2011:Q4","2012:Q1","2012:Q2","2012:Q3","2012:Q4","2013:Q1","2013:Q2","2013:Q3","2013:Q4","2014:Q1","2014:Q2","2014:Q3","2014:Q4","2015:Q1","2015:Q2","2015:Q3","2015:Q4","2016:Q1","2016:Q2","2016:Q3","2016:Q4","2017:Q1","2017:Q2","2017:Q3","2017:Q4","2018:Q1","2018:Q2","2018:Q3","2018:Q4","2019:Q1","2019:Q2","2019:Q3","2019:Q4","2020:Q1","2020:Q2","2020:Q3"
"22000","Louisiana","1","Personal income (millions of dollars, seasonally adjusted)",112805.3,114275.1,114847.8,115907.8,116198.9,117265.5,117975.1,119354.3,118749.8,120258.3,121908.3,123611.4,123318.8,125410.1,126786.5,129667.0,131337.1,132933.4,139002.2,140412.6,140916.0,142734.3,144161.7,146761.4,150117.3,158700.3,159322.1,161357.5,163603.3,170908.0,168204.5,169564.1,165285.1,163729.7,162891.5,163100.3,167054.5,169865.9,173245.0,174227.5,175376.6,176203.2,177683.8,179156.8,183327.6,186674.6,185701.1,190654.0,187955.7,188969.7,189490.9,190372.2,194323.5,197560.6,199741.4,201310.3,199307.3,199373.8,200464.1,201295.9,196525.9,197970.6,198976.1,202335.2,202572.4,203809.2,205849.4,208521.2,211311.9,214988.6,216152.7,218781.5,219092.0,220146.0,220385.2,222895.6,222543.4,245881.1,236899.9
"22000","Louisiana","2","Population (midperiod, persons) 1/","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)",4527101,4538961,4549070,4557565,4564678,4571665,4579313,4586235,4592232,4597829,4604780,4611664,4616444,4621436,4627479,4633257,4637486,4641595,4647440,4653624,4657755,4662038,4666933,4671028,4673538,4676283,4677862,4676882,4674167,4671380,4669887,4667922,4664235,4660889,4659002,4656954,4653234,4649954,4648097,4646040,4642505,4639470,4637696
"22000","Louisiana","3","Per capita personal income (dollars) 2/","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)",36901,37424,38084,38228,38420,38542,38801,39064,39921,40601,40328,41342,40714,40890,40949,41088,41903,42563,42979,43259,42790,42765,42954,43095,42051,42335,42536,43263,43339,43629,44080,44671,45305,46126,46395,46980,47084,47344,47414,47975,47936,52998,51081
"Legend / Footnotes:"
"1/ Midquarter population estimates by state are derived by BEA based on unpublished Census Bureau estimates of beginning-of-month population. Quarterly estimates for 2010-2020 reflect unpublished monthly population estimates available as of February 2020."
"2/ Per capita personal income is total personal income divided by total quarterly population estimates."
"Note. Millions of dollars, seasonally adjusted at annual rates. All dollar estimates are in current dollars (not adjusted for inflation). Calculations are performed on unrounded data."
"(NA) Not available."
"Last updated: December 17, 2020-- new statistics for 2020:Q3; revised statistics for 2020:Q1-2020:Q2."
